year;month;day;hour;NO2;NO;NOx;O3;
2005;1;4;23;60.0000;97.0000;208.733;6.00000;
2005;1;4;24;54.0000;48.0000;127.600;6.00000;
2005;1;5;1;51.0000;36.0000;106.200;4.00000;
2005;1;5;2;49.0000;70.0000;156.333;4.00000;
2005;1;5;3;46.0000;50.0000;122.667;4.00000;
2005;1;5;4;43.0000;25.0000;81.3333;4.00000;
2005;1;5;5;40.0000;19.0000;69.1333;4.00000;
2005;1;5;6;41.0000;20.0000;71.6667;3.00000;
2005;1;5;7;43.0000;54.0000;125.800;3.00000;
2005;1;5;8;57.0000;136.000;265.533;5.00000;
2005;1;5;9;66.0000;233.000;423.267;6.00000;
2005;1;5;10;67.0000;173.000;332.267;5.00000;
2005;1;5;11;76.0000;97.0000;224.733;7.00000;
2005;1;5;12;87.0000;77.0000;205.067;9.00000;
2005;1;5;13;70.0000;43.0000;135.933;11.0000;
2005;1;5;14;63.0000;27.0000;104.400;14.0000;
2005;1;5;15;60.0000;17.0000;86.0667;16.0000;
2005;1;5;16;66.0000;21.0000;98.2000;11.0000;
2005;1;5;17;62.0000;47.0000;134.067;6.00000;
2005;1;5;18;66.0000;168.000;323.600;7.00000;
2005;1;5;19;73.0000;126.000;266.200;9.00000;
2005;1;5;20;68.0000;75.0000;183.000;9.00000;
2005;1;5;21;64.0000;53.0000;145.267;4.00000;
2005;1;5;22;58.0000;23.0000;93.2667;6.00000;
2005;1;5;23;53.0000;11.0000;69.8667;8.00000;
2005;1;5;24;49.0000;7.00000;59.7333;10.0000;
2005;1;6;1;-999;-999;-999;13.0000;
2005;1;6;2;40.0000;3.00000;44.6000;16.0000;
2005;1;6;3;38.0000;2.00000;41.0667;18.0000;
2005;1;6;4;36.0000;2.00000;39.0667;19.0000;
2005;1;6;5;34.0000;2.00000;37.0667;23.0000;
2005;1;6;6;35.0000;2.00000;38.0667;22.0000;
2005;1;6;7;37.0000;3.00000;41.6000;20.0000;
2005;1;6;8;37.0000;4.00000;43.1333;19.0000;
