year;month;day;hour;NO2;NO;NOx;SO2;O3;PM10;
2005;1;3;23;41.0000;155.000;278.667;13.0000;2.00000;63.0000;
2005;1;3;24;36.0000;189.000;325.800;13.0000;3.00000;63.0000;
2005;1;4;1;31.0000;188.000;319.267;3.00000;3.00000;71.0000;
2005;1;4;2;43.0000;109.000;210.133;2.00000;3.00000;71.0000;
2005;1;4;3;44.0000;97.0000;192.733;2.00000;3.00000;71.0000;
2005;1;4;4;44.0000;86.0000;175.867;2.00000;3.00000;71.0000;
2005;1;4;5;49.0000;56.0000;134.867;2.00000;2.00000;71.0000;
2005;1;4;6;44.0000;56.0000;129.867;2.00000;-999;71.0000;
2005;1;4;7;36.0000;115.000;212.333;1.00000;2.00000;71.0000;
2005;1;4;8;41.0000;153.000;275.600;5.00000;2.00000;71.0000;
2005;1;4;9;24.0000;216.000;355.200;6.00000;2.00000;71.0000;
2005;1;4;10;34.0000;186.000;319.200;7.00000;2.00000;71.0000;
2005;1;4;11;45.0000;141.000;261.200;7.00000;3.00000;71.0000;
2005;1;4;12;48.0000;110.000;216.667;8.00000;5.00000;71.0000;
2005;1;4;13;47.0000;94.0000;191.133;8.00000;6.00000;71.0000;
2005;1;4;14;50.0000;75.0000;165.000;15.0000;6.00000;71.0000;
2005;1;4;15;53.0000;87.0000;186.400;12.0000;5.00000;71.0000;
2005;1;4;16;57.0000;91.0000;196.533;14.0000;4.00000;71.0000;
2005;1;4;17;61.0000;80.0000;183.667;9.00000;2.00000;71.0000;
2005;1;4;18;54.0000;142.000;271.733;10.0000;2.00000;71.0000;
2005;1;4;19;51.0000;158.000;293.267;6.00000;2.00000;71.0000;
2005;1;4;20;47.0000;153.000;281.600;10.0000;3.00000;71.0000;
2005;1;4;21;46.0000;201.000;354.200;9.00000;3.00000;71.0000;
2005;1;4;22;48.0000;193.000;343.933;8.00000;3.00000;71.0000;
2005;1;4;23;46.0000;181.000;323.533;11.0000;2.00000;71.0000;
2005;1;4;24;44.0000;173.000;309.267;11.0000;3.00000;71.0000;
2005;1;5;1;45.0000;158.000;287.267;2.00000;4.00000;108.000;
2005;1;5;2;46.0000;123.000;234.600;1.00000;3.00000;108.000;
2005;1;5;3;-999;-999;-999;3.00000;3.00000;108.000;
2005;1;5;4;28.0000;191.000;320.867;5.00000;3.00000;108.000;
2005;1;5;5;25.0000;170.000;285.667;5.00000;4.00000;108.000;
2005;1;5;6;19.0000;226.000;365.533;4.00000;-999;108.000;
2005;1;5;7;16.0000;282.000;448.400;2.00000;3.00000;108.000;
2005;1;5;8;14.0000;275.000;435.667;2.00000;3.00000;108.000;
2005;1;5;9;8.00000;379.000;589.133;4.00000;3.00000;108.000;
2005;1;5;10;28.0000;194.000;325.467;2.00000;2.00000;108.000;
2005;1;5;11;29.0000;165.000;282.000;1.00000;2.00000;108.000;
2005;1;5;12;37.0000;117.000;216.400;3.00000;3.00000;108.000;
2005;1;5;13;38.0000;94.0000;182.133;4.00000;5.00000;108.000;
2005;1;5;14;40.0000;49.0000;115.133;9.00000;9.00000;108.000;
2005;1;5;15;43.0000;59.0000;133.467;20.0000;8.00000;108.000;
2005;1;5;16;49.0000;86.0000;180.867;11.0000;4.00000;108.000;
2005;1;5;17;55.0000;86.0000;186.867;10.0000;3.00000;108.000;
2005;1;5;18;47.0000;154.000;283.133;7.00000;2.00000;108.000;
2005;1;5;19;39.0000;188.000;327.267;6.00000;3.00000;108.000;
2005;1;5;20;34.0000;229.000;385.133;8.00000;3.00000;108.000;
2005;1;5;21;37.0000;234.000;395.800;7.00000;4.00000;108.000;
2005;1;5;22;40.0000;218.000;374.267;9.00000;5.00000;108.000;
2005;1;5;23;45.0000;191.000;337.867;10.0000;6.00000;108.000;
2005;1;5;24;49.0000;162.000;297.400;9.00000;8.00000;108.000;
2005;1;6;1;48.0000;145.000;270.333;3.00000;8.00000;146.000;
2005;1;6;2;55.0000;100.000;208.333;0.000000;6.00000;146.000;
2005;1;6;3;52.0000;105.000;213.000;0.000000;6.00000;146.000;
2005;1;6;4;50.0000;89.0000;186.467;0.000000;8.00000;146.000;
2005;1;6;5;39.0000;114.000;213.800;0.000000;8.00000;146.000;
2005;1;6;6;30.0000;147.000;255.400;0.000000;-999;146.000;
